Index,beta,prmc_size,ifr
0,0.05,20,0.04
1,0.05,20,0.08
2,0.05,20,0.12
3,0.05,20,0.16
4,0.05,20,0.2
5,0.05,40,0.04
6,0.05,40,0.08
7,0.05,40,0.12
8,0.05,40,0.16
9,0.05,40,0.2
10,0.05,80,0.04
11,0.05,80,0.08
12,0.05,80,0.12
13,0.05,80,0.16
14,0.05,80,0.2
15,0.05,120,0.04
16,0.05,120,0.08
17,0.05,120,0.12
18,0.05,120,0.16
19,0.05,120,0.2
20,0.05,160,0.04
21,0.05,160,0.08
22,0.05,160,0.12
23,0.05,160,0.16
24,0.05,160,0.2
25,0.05,200,0.04
26,0.05,200,0.08
27,0.05,200,0.12
28,0.05,200,0.16
29,0.05,200,0.2
30,0.056,20,0.04
31,0.056,20,0.08
32,0.056,20,0.12
33,0.056,20,0.16
34,0.056,20,0.2
35,0.056,40,0.04
36,0.056,40,0.08
37,0.056,40,0.12
38,0.056,40,0.16
39,0.056,40,0.2
40,0.056,80,0.04
41,0.056,80,0.08
42,0.056,80,0.12
43,0.056,80,0.16
44,0.056,80,0.2
45,0.056,120,0.04
46,0.056,120,0.08
47,0.056,120,0.12
48,0.056,120,0.16
49,0.056,120,0.2
50,0.056,160,0.04
51,0.056,160,0.08
52,0.056,160,0.12
53,0.056,160,0.16
54,0.056,160,0.2
55,0.056,200,0.04
56,0.056,200,0.08
57,0.056,200,0.12
58,0.056,200,0.16
59,0.056,200,0.2
60,0.1,20,0.04
61,0.1,20,0.08
62,0.1,20,0.12
63,0.1,20,0.16
64,0.1,20,0.2
65,0.1,40,0.04
66,0.1,40,0.08
67,0.1,40,0.12
68,0.1,40,0.16
69,0.1,40,0.2
70,0.1,80,0.04
71,0.1,80,0.08
72,0.1,80,0.12
73,0.1,80,0.16
74,0.1,80,0.2
75,0.1,120,0.04
76,0.1,120,0.08
77,0.1,120,0.12
78,0.1,120,0.16
79,0.1,120,0.2
80,0.1,160,0.04
81,0.1,160,0.08
82,0.1,160,0.12
83,0.1,160,0.16
84,0.1,160,0.2
85,0.1,200,0.04
86,0.1,200,0.08
87,0.1,200,0.12
88,0.1,200,0.16
89,0.1,200,0.2
90,0.26,20,0.04
91,0.26,20,0.08
92,0.26,20,0.12
93,0.26,20,0.16
94,0.26,20,0.2
95,0.26,40,0.04
96,0.26,40,0.08
97,0.26,40,0.12
98,0.26,40,0.16
99,0.26,40,0.2
100,0.26,80,0.04
101,0.26,80,0.08
102,0.26,80,0.12
103,0.26,80,0.16
104,0.26,80,0.2
105,0.26,120,0.04
106,0.26,120,0.08
107,0.26,120,0.12
108,0.26,120,0.16
109,0.26,120,0.2
110,0.26,160,0.04
111,0.26,160,0.08
112,0.26,160,0.12
113,0.26,160,0.16
114,0.26,160,0.2
115,0.26,200,0.04
116,0.26,200,0.08
117,0.26,200,0.12
118,0.26,200,0.16
119,0.26,200,0.2
